TBest, TFirstBest, TPercentage, TOp2, Aneling
4.84, 4.64, 4.61, 4.60, 1.48
4.40, 4.40, 4.40, 4.39, 1.25
4.68, 4.42, 4.42, 4.35, 1.45
21.64, 19.5, 19.4, 19.1, 8.95
11.6, 11.2, 11.2, 11.2, 16.31
11.7, 11.5, 11.5, 11.5, 16.55
11.9, 11.9, 11.9, 11.9, 16.20
5.64, 4.48, 4.48, 4.32, 2.19
5.73, 4.91, 4.88, 4.79, 2.62
22, 18.9, 18.9, 18.5, 7.31
7.2, 6.82, 6.73, 6.69, 2.26
6.91, 6.19, 6.10, 6.00, 2.05
13.08, 12.5, 12.5, 12.4, 16.6
12.95, 12.3, 12.2, 12.2, 18.8
6.65, 5.73, 5.73, 5.51, 1.71
6.31, 5.89, 5.89, 5.79, 1.94
0, 0, 0, 0, 0
1.8, 1.87, 1.87, 1.87, 0
5.54, 5.01, 5.01, 4.84, 2.02
5.76, 4.73, 4.73, 4.48, 2.16